"employees","salaries_2017","adjustments","raise"
"Employee 1",44661.0495937057,-3321.87374006025,FALSE
"Employee 2",48917.1625929885,820.173848187551,TRUE
"Employee 3",49047.5119301118,4635.33909060061,TRUE
"Employee 4",40029.4027966447,8541.88583558425,TRUE
"Employee 5",45180.4397557862,-96.3874696753919,FALSE
"Employee 6",46517.1695523895,7313.66799678653,TRUE
"Employee 7",48366.4290932938,6590.44377272949,TRUE
"Employee 8",44530.7157444768,7433.10041842051,TRUE
"Employee 9",42852.9491904192,-4382.28286686353,FALSE
"Employee 10",49622.777858749,9712.38529193215,TRUE
"Employee 11",43648.6660991795,2133.83870781399,TRUE
"Employee 12",48162.0056042448,8966.74445364624,TRUE
"Employee 13",45774.8312712647,6016.02717768401,TRUE
"Employee 14",49327.3931648582,6952.37748441286,TRUE
"Employee 15",44673.5214162618,-4806.427200092,FALSE
"Employee 16",46789.5473283716,-3105.17489910126,FALSE
"Employee 17",44866.9204185717,8510.86737704463,TRUE
"Employee 18",47066.8240496889,-4981.12968518399,FALSE
"Employee 19",46054.2261064984,4673.97457221523,TRUE
"Employee 20",46746.4754008688,8456.08777017333,TRUE
"Employee 21",40234.3775867485,-412.417821353301,FALSE
"Employee 22",49622.2735452466,1742.09350370802,TRUE
"Employee 23",48547.8450288065,-4429.27002091892,FALSE
"Employee 24",49308.5399991833,1710.58944310062,TRUE
"Employee 25",42464.0736565925,606.182959163561,TRUE
"Employee 26",47478.7488766015,2559.58360736258,TRUE
"Employee 27",40278.174742125,7080.23883169517,TRUE
"Employee 28",45122.6959563792,7918.25437918305,TRUE
"Employee 29",40615.1843885891,649.363325210288,TRUE
"Employee 30",46913.0220473744,2334.48239392601,TRUE
"Employee 31",43257.0351124741,-704.816675279289,FALSE
"Employee 32",44393.4151530266,-2032.75777748786,FALSE
"Employee 33",49873.5743761063,-4322.81316258013,FALSE
"Employee 34",40900.6078564562,-2825.33122110181,FALSE
"Employee 35",40006.855414249,6127.38582189195,TRUE
"Employee 36",48964.1931210645,-1109.8323808983,FALSE
"Employee 37",44799.6668424457,-2838.16141774878,FALSE
"Employee 38",42745.2187379822,5599.90437119268,TRUE
"Employee 39",42332.3651519604,860.570105724037,TRUE
"Employee 40",47437.9066796973,2796.90552735701,TRUE
"Employee 41",43458.5558762774,546.149152796715,TRUE
"Employee 42",42943.5779969208,6466.82986058295,TRUE
"Employee 43",48520.1278352179,7865.42688962072,TRUE
"Employee 44",43827.8410816565,-2698.59445979819,FALSE
"Employee 45",47823.180295527,8847.07840741612,TRUE
"Employee 46",46566.4334618486,2767.2409103252,TRUE
"Employee 47",48364.568031393,5659.89898517728,TRUE
"Employee 48",41138.9184324071,7461.6371630691,TRUE
"Employee 49",44417.8296090104,7824.56505927257,TRUE
"Employee 50",41812.207470648,-1875.19432161935,FALSE
"Employee 51",42956.1596829444,7711.69050596654,TRUE
"Employee 52",48164.2272416502,3786.17425682023,TRUE
"Employee 53",40353.4323978238,4601.99643159285,TRUE
"Employee 54",44301.7289717682,9570.71071839891,TRUE
"Employee 55",47284.3008488417,-675.449734553695,FALSE
"Employee 56",40429.2899137363,2369.42265066318,TRUE
"Employee 57",48925.656483043,1863.87317604385,TRUE
"Employee 58",40681.8540371023,7081.94728358649,TRUE
"Employee 59",42122.9665121064,-3379.13768365979,FALSE
"Employee 60",49856.2030447647,614.636510144919,TRUE
"Employee 61",48660.325256642,9525.43703489937,TRUE
"Employee 62",42397.0250645652,-4457.87624805234,FALSE
"Employee 63",46516.3058158942,1024.11673520692,TRUE
"Employee 64",45604.8898492008,-1856.80580558255,FALSE
"Employee 65",47732.4791462161,4490.98256300204,TRUE
"Employee 66",46553.9716859348,8668.17487054504,TRUE
"Employee 67",41384.0685389005,-4698.51869740523,FALSE
"Employee 68",43295.6128637306,-4863.81881055422,FALSE
"Employee 69",42936.8350398727,-3005.36939175799,FALSE
"Employee 70",43270.865608938,-4343.71295967139,FALSE
"Employee 71",42220.7440412603,-4709.51880677603,FALSE
"Employee 72",46637.8002916463,5950.90762712061,TRUE
"Employee 73",41399.3301405571,-2537.7978105098,FALSE
"Employee 74",49718.9262555912,7492.01611033641,TRUE
"Employee 75",47707.566509489,4552.30261432007,TRUE
"Employee 76",44963.1009134464,-4720.54317826405,FALSE
"Employee 77",46809.9920055829,6942.57958442904,TRUE
"Employee 78",41065.1035862975,5761.91024272703,TRUE
"Employee 79",44344.2219099961,2530.58621077798,TRUE
"Employee 80",49301.2948124669,-1718.21927884594,FALSE
"Employee 81",40046.4182556607,-2318.0465598125,FALSE
"Employee 82",49851.1034273542,8238.47619933076,TRUE
"Employee 83",42851.492355112,-3098.82933041081,FALSE
"Employee 84",48766.8966897763,-325.341536663473,FALSE
"Employee 85",40676.8107879907,-3066.99280510657,FALSE
"Employee 86",48322.5330919959,6610.04907218739,TRUE
"Employee 87",44218.3130583726,4857.71475359797,TRUE
"Employee 88",44940.9627006389,-4291.86294320971,FALSE
"Employee 89",40069.9259177782,2380.47389313579,TRUE
"Employee 90",41957.1678293869,-3731.0436705593,FALSE
"Employee 91",49233.4280791692,3725.23243539035,TRUE
"Employee 92",48410.0351762027,-1612.26803087629,FALSE
"Employee 93",46408.6202252656,3342.91245788336,TRUE
"Employee 94",45789.2886851914,7107.40593844093,TRUE
"Employee 95",40516.216144897,-3485.35764496773,FALSE
"Employee 96",48255.6485780515,163.138932548463,TRUE
"Employee 97",40880.0420700572,-1757.85956555046,FALSE
"Employee 98",42093.7467762269,6912.84625674598,TRUE
"Employee 99",45825.9113389067,-4894.68421204947,FALSE
"Employee 100",40358.7254579179,-2902.69746561535,FALSE
